20000 1010000 10000 27000 30000 24230921
20000 1030000 10000 33000 20000 24233779
10000 1040000 10000 23000 30000 24238133
20000 1010101 0 35000 20000 24240768
10000 1015000 10000 32000 40000 24241519
20000 1010200 10000 32000 30000 24245434
30000 1040200 10000 29000 20000 24249056
20000 1030000 10000 33000 30000 24250780
10000 1040200 10000 30000 30000 24252594
30000 1010100 10000 34000 20000 24255238
30000 1010200 0 23000 30000 24255652
10000 1020000 0 43000 30000 24256598
30000 1010100 0 28000 30000 24258258
10000 1010400 10000 34000 20000 24260681
30000 1010000 0 27000 30000 24264224
20000 1030000 10000 22000 30000 24264455
20000 1026733 10000 30000 30000 24267064
20000 1010000 10000 23000 30000 24270186
30000 1010300 0 29000 20000 24271314
30000 1010101 0 27000 30000 24271321
20000 1010200 10000 37000 20000 24271478
30000 1025100 0 34000 30000 24272116
20000 1010000 0 33000 20000 24273775
20000 1010300 0 33000 30000 24274913
20000 1010000 10000 33000 30000 24276534
30000 1010101 0 25000 30000 24285771
20000 1010300 0 25000 30000 24289454
20000 1010101 10000 27000 20000 24290451
20000 1010000 0 35000 40000 24290695
20000 1010200 0 25000 20000 24291664
30000 1010200 0 27000 30000 24292632
30000 1010100 0 27000 20000 24293811
10000 1040200 10000 36000 30000 24297365
20000 1010000 0 28000 20000 24300132
30000 1010200 0 28000 20000 24301465
20000 1040000 10000 33000 30000 24302330
30000 1010000 0 27000 30000 24306431
